iter	Passed	Remaining
666	14697	5222
667	14719	5200
668	14739	5177
669	14762	5155
670	14785	5134
671	14807	5112
672	14829	5090
673	14851	5068
674	14873	5046
675	14894	5023
676	14916	5001
677	14938	4979
678	14961	4957
679	14981	4935
680	15002	4912
681	15022	4890
682	15045	4868
683	15067	4846
684	15090	4824
685	15111	4802
686	15133	4780
687	15155	4758
688	15176	4735
689	15196	4713
690	15217	4690
691	15238	4668
692	15259	4646
693	15279	4623
694	15301	4601
695	15325	4579
696	15345	4557
697	15368	4535
698	15389	4513
699	15412	4491
700	15434	4469
701	15455	4447
702	15476	4424
703	15496	4402
704	15519	4380
705	15540	4358
706	15561	4336
707	15583	4314
708	15603	4291
709	15626	4269
710	15650	4248
711	15673	4226
712	15694	4204
713	15715	4181
714	15738	4160
715	15762	4138
716	15786	4117
717	15809	4095
718	15831	4073
719	15853	4051
720	15876	4029
721	15898	4007
722	15920	3985
723	15942	3963
724	15965	3941
725	15985	3919
726	16009	3897
727	16033	3876
728	16054	3854
729	16075	3831
730	16096	3809
731	16117	3787
732	16138	3764
733	16161	3743
734	16182	3720
735	16203	3698
736	16227	3676
737	16250	3655
738	16271	3633
739	16292	3610
740	16314	3588
741	16335	3566
742	16371	3547
743	16391	3525
744	16411	3502
745	16432	3480
746	16455	3458
747	16478	3436
748	16500	3414
749	16521	3392
750	16545	3370
751	16567	3348
752	16588	3326
753	16608	3304
754	16628	3281
755	16651	3259
756	16673	3237
757	16693	3215
758	16716	3193
759	16738	3171
760	16758	3149
761	16780	3127
762	16802	3105
763	16822	3082
764	16845	3060
765	16867	3038
766	16890	3016
767	16913	2995
768	16934	2972
769	16958	2951
770	16980	2929
771	17001	2907
772	17022	2884
773	17046	2863
774	17067	2840
775	17089	2818
776	17113	2797
777	17135	2775
778	17156	2753
779	17180	2731
780	17203	2709
781	17226	2687
782	17248	2665
783	17271	2643
784	17293	2621
785	17316	2599
786	17336	2577
787	17360	2555
788	17381	2533
789	17404	2511
790	17427	2489
791	17447	2467
792	17469	2445
793	17490	2423
794	17511	2400
795	17532	2378
796	17554	2356
797	17575	2334
798	17596	2312
799	17620	2290
800	17643	2268
801	17664	2246
802	17686	2224
803	17708	2202
804	17729	2180
805	17750	2158
806	17773	2136
807	17795	2114
808	17819	2092
809	17841	2070
810	17863	2048
811	17887	2026
812	17908	2004
813	17930	1982
814	17953	1960
815	17974	1938
816	17995	1916
817	18017	1894
818	18038	1872
819	18058	1849
820	18080	1827
821	18100	1805
822	18123	1783
823	18145	1761
824	18165	1739
825	18186	1717
826	18209	1695
827	18230	1673
828	18254	1651
829	18276	1629
830	18299	1607
831	18320	1585
832	18341	1563
833	18364	1541
834	18385	1519
835	18409	1497
836	18430	1475
837	18454	1453
838	18477	1431
839	18497	1409
840	18517	1387
841	18540	1365
842	18563	1343
843	18584	1321
844	18606	1299
845	18626	1277
846	18647	1254
847	18668	1232
848	18691	1210
849	18714	1188
850	18737	1166
851	18759	1144
852	18780	1122
853	18800	1100
854	18823	1078
855	18843	1056
856	18863	1034
857	18883	1012
858	18907	990
859	18927	968
860	18948	946
861	18969	924
862	18990	902
863	19012	880
864	19033	858
865	19055	836
866	19076	814
867	19098	792
868	19119	770
869	19140	748
870	19163	726
871	19185	704
872	19210	682
873	19232	660
874	19254	638
875	19275	616
876	19299	594
877	19320	572
878	19344	550
879	19365	528
880	19386	506
881	19410	484
882	19431	462
883	19452	440
884	19475	418
885	19495	396
886	19517	374
887	19538	352
888	19561	330
889	19584	308
890	19605	286
891	19629	264
892	19652	242
893	19673	220
894	19694	198
895	19717	176
896	19737	154
897	19759	132
898	19783	110
899	19804	88
900	19825	66
901	19875	44
902	19894	22
903	19916	0
